Geographic identifier code,Id2,Geographic area name,,pct_PT,pct_SGT
0100000US,,United States,,0.016447359,0.478790635
0400000US01,1,Alabama,,0.035530949,0.511239551
0400000US02,2,Alaska,,0.030556794,0.035241591
0400000US04,4,Arizona,,0.058048904,0.620641944
0400000US05,5,Arkansas,,0.121710685,0.480568898
0400000US06,6,California,,0.018057856,0.358931255
0400000US08,8,Colorado,,#VALUE!,0.398582692
0400000US09,9,Connecticut,,#VALUE!,0.436536589
0400000US10,10,Delaware,,#VALUE!,0.149700093
0400000US12,12,Florida,,4.24281E-06,0.826353489
0400000US13,13,Georgia,,0.004125044,0.44222384
0400000US15,15,Hawaii,,#VALUE!,0.649303336
0400000US16,16,Idaho,,#VALUE!,0.493322894
0400000US17,17,Illinois,,0.001795643,0.394279382
0400000US18,18,Indiana,,0.000388962,0.609322293
0400000US19,19,Iowa,,#VALUE!,0.457979168
0400000US20,20,Kansas,,0.010030949,0.496821998
0400000US21,21,Kentucky,,0.049869264,0.48477612
0400000US22,22,Louisiana,,0.005663409,0.543565176
0400000US23,23,Maine,,0.010155859,0.463001009
0400000US24,24,Maryland,,0.04422091,0.4196373
0400000US25,25,Massachusetts,,0.000194602,0.320447246
0400000US26,26,Michigan,,0.079900029,0.529041974
0400000US27,27,Minnesota,,0.039283988,0.444499707
0400000US28,28,Mississippi,,0.003448978,0.632308098
0400000US29,29,Missouri,,0.002704812,0.441122177
0400000US30,30,Montana,,0.104577111,0.221497046
0400000US31,31,Nebraska,,1.78628E-05,0.479495454
0400000US32,32,Nevada,,0.034615221,0.772232548
0400000US33,33,New Hampshire,,0.172641375,0.396834078
0400000US34,34,New Jersey,,0.000205782,0.437408051
0400000US35,35,New Mexico,,0.014840115,0.505704095
0400000US36,36,New York,,#VALUE!,0.319646221
0400000US37,37,North Carolina,,#VALUE!,0.420014443
0400000US38,38,North Dakota,,0.000578368,0.384580728
0400000US39,39,Ohio,,#VALUE!,0.506173877
0400000US40,40,Oklahoma,,#VALUE!,0.420326117
0400000US41,41,Oregon,,0.001799935,0.160286752
0400000US42,42,Pennsylvania,,0.001166983,0.520536455
0400000US44,44,Rhode Island,,0.000730426,0.514104027
0400000US45,45,South Carolina,,0.001092818,0.517774143
0400000US46,46,South Dakota,,#VALUE!,0.786874938
0400000US47,47,Tennessee,,#VALUE!,0.736654793
0400000US48,48,Texas,,#VALUE!,0.853827303
0400000US49,49,Utah,,#VALUE!,0.468528242
0400000US50,50,Vermont,,0.338498284,0.354555194
0400000US51,51,Virginia,,0.001890173,0.322987615
0400000US53,53,Washington,,0.107638336,0.804066505
0400000US54,54,West Virginia,,0.001142501,0.484240621
0400000US55,55,Wisconsin,,0.009726023,0.438129117
0400000US56,56,Wyoming,,0.137433894,0.379167484
